Depth,TVGR,TVRES,TVDT
4247.8452,56.42842865,0.79628,289.9461942
4247.9976,59.47325897,0.69277,309.5629921
4248.15,56.92845154,0.68888,312.1269911
4248.3,51.94858932,0.79431,303.1426231
4248.4548,48.90882111,0.79595,279.8189238
4248.6072,45.60203171,0.84598,254.5888846
4248.7596,41.07934189,1.04496,247.0482512
4248.912,38.12783813,1.15251,248.5252698
4249.0644,40.83663177,1.26631,251.911819
4249.2168,46.0415802,1.01834,256.0797244
4249.3692,48.62200928,0.88895,262.9806607
4249.5216,50.34804153,0.91501,274.508489
4249.674,53.44178009,0.93455,287.4178696
4249.8264,56.49398041,0.88835,279.0758802
4249.9788,57.09835052,0.845,264.1465608
4250.1312,56.34597015,0.95191,258.5797602
4250.2836,56.60614014,0.81897,255.2279202
4250.436,57.2635498,0.79688,262.3792651
4250.5884,56.65082932,0.82051,282.0308399
4250.7408,55.51079941,0.70258,304.1741842
4250.8932,53.40494156,0.74635,309.1232146
4251.0456,49.95655823,0.98596,302.4018368
4251.198,48.59405136,1.01249,295.3514441
4251.3504,53.35116959,0.91329,288.3949559
4251.5028,62.34733963,0.8072,285.0320592
4251.6552,65.63078308,0.74146,291.1659186
4251.8076,62.6228981,0.77135,301.6883202
4251.96,61.87882996,0.88665,305.8474409
4252.1124,64.09784698,0.79515,301.5577811
4252.2648,65.57871246,0.75153,290.1034903
4252.4172,62.221241,0.77623,268.9625246
4252.5696,53.74448013,0.73874,247.4062418
4252.722,45.84572983,0.69149,238.6597502
4252.8744,43.55881882,0.72615,244.8171411
4253.0268,46.21916962,0.8776,252.1444698
4253.1792,49.66706848,1.18713,259.0249344
4253.3316,53.92932129,1.05052,263.5935776
4253.484,59.65830994,0.85571,260.2024457
4253.6364,62.02022171,0.88617,251.7258983
4253.7888,59.20273972,1.00463,240.3663637
4253.9412,55.81946945,1.06392,233.5355391
4254.0936,53.34320068,0.94313,245.8479822
4254.246,50.33398056,0.85774,255.9264596
4254.3984,48.66386032,0.84322,242.1299213
4254.5508,49.13457108,0.72005,251.6059711
4254.7032,48.43706131,0.77399,260.6014294
4254.8556,47.51350021,1.29147,250.1692756
4255.008,50.60000992,1.09883,223.6698842
4255.1604,55.51074982,0.9927,215.8985684
4255.3128,54.6113205,1.06712,228.6076652
4255.4652,49.89368057,1.04491,244.4328548
4255.6176,48.58560944,0.94055,247.1642239
4255.77,48.29457092,1.04199,248.3717192
4255.9224,48.05096817,1.11425,255.4314304
4256.0748,51.78606033,0.95627,250.2776307
4256.2272,55.02809906,0.92947,237.8959666
4256.3796,53.20822906,0.99763,239.3731844
4256.532,50.74795914,0.90124,259.2396765
4256.6844,47.36669922,0.86933,292.2679848
4256.8368,43.81415939,1.14106,292.5769252
4256.9892,45.3523407,1.19992,264.0407186
4257.1416,50.56145096,1.31424,232.4799869
4257.294,54.93321991,1.15843,214.5338471
4257.4464,55.96818161,1.21071,209.1211888
4257.5988,55.06093979,1.15707,210.3139927
4257.7512,54.69414139,1.08697,212.3352967
4257.9036,53.3474617,1.05344,221.08137
4258.056,50.62812042,0.97294,237.0924926
4258.2084,48.08343887,0.85532,246.4944926
4258.3608,46.1248703,1.08658,257.2473753
4258.5132,49.29001999,1.08097,296.4481627
4258.6656,55.22639847,1.05792,342.2009172
4258.818,56.85546112,1.19613,360.384374
4258.9704,57.89583969,1.0041,356.6602311
4259.1228,59.90182114,0.86297,345.2508352
4259.2752,60.58039856,0.75714,329.6372881
4259.4276,57.98138046,0.7638,318.171234
4259.58,50.59550095,0.86515,310.7545368
4259.7324,42.2069397,0.90934,292.2860892
4259.8848,36.53816986,0.85161,279.4639108
4260.0372,35.08531952,0.948,301.6510375
4260.1896,35.59656906,1.06595,336.811074
4260.342,36.52108002,1.16038,339.8627338
4260.4944,38.91521072,1.07515,323.7658751
4260.6468,39.98402023,1.20265,320.6323707
4260.7992,40.24988174,1.13969,318.155824
4260.9516,43.23051071,0.97574,301.2319117
4261.104,46.25228882,0.94127,259.5370735
4261.2564,45.89912033,0.89402,228.0947543
4261.4088,43.08871078,0.91746,218.0138711
4261.5612,40.19804001,0.92607,228.6636958
4261.7136,36.79175949,0.80006,247.1314754
4261.866,32.10213089,0.82707,251.5657031
4262.0184,31.99361992,0.65395,246.1229734
4262.1708,37.69462967,0.6302,249.9089251
4262.3232,41.77033997,0.79657,253.0239501
4262.4756,46.58353043,0.85218,258.1630577
4262.628,54.19200134,0.93089,270.0935761
4262.7804,58.95959091,0.9569,278.1992941
4262.9328,63.13393021,0.94342,279.9118918
4263.0852,69.0953064,0.77356,272.7746926
4263.2376,71.63128662,0.76936,266.5904649
4263.39,70.2424469,0.78556,264.0236628
4263.5424,66.4834671,0.74556,267.8521439
4263.6948,58.43748856,0.91006,275.8179134
4263.8472,49.32033157,0.94024,278.1988189
4263.9996,43.22665024,1.0121,269.4804596
4264.152,43.93368149,0.78145,268.7085804
4264.3044,47.97750854,0.5487,279.5804218
4264.4568,47.63042831,0.87245,286.8618354
4264.6092,50.02412033,0.9832,275.889431
4264.7616,57.41793823,1.0044,263.1196012
4264.914,60.33864975,0.87599,253.1672903
4265.0664,60.74785995,0.66553,246.281168
4265.2188,62.30772018,0.73652,252.3234908
4265.3712,64.23430634,0.85449,269.3456848
4265.5236,65.83837891,0.81586,283.1558003
4265.676,66.56963348,0.75975,286.6157145
4265.8284,67.68990326,0.73833,282.5401254
4265.9808,64.68430328,0.73016,280.3961829
4266.1332,56.3916893,0.69125,280.7789461
4266.2856,49.62556839,0.65486,284.9130577
4266.438,43.81771088,0.74657,290.2959318
4266.5904,39.08427811,0.84391,294.3380077
4266.7428,41.90216064,0.93671,288.4554116
4266.8952,48.15686035,1.18634,272.9964178
4267.0476,52.60340118,1.03325,252.7904733
4267.2,58.76522827,0.79992,250.6311146
4267.3524,65.59078979,0.74057,268.3544951
4267.5048,68.7596283,0.75381,285.3084295
4267.6572,71.01820374,0.76738,291.2854331
4267.8096,73.36225128,0.69725,290.9169948
4267.962,71.9733429,0.74077,296.6910407
4268.1144,69.06169128,0.77572,300.3328217
4268.2668,66.35546875,0.70214,297.5431886
4268.4192,57.79457855,0.70486,287.2028744
4268.5716,44.78237152,0.78411,277.6690063
4268.724,39.19020081,0.60674,281.121739
4268.8764,41.89963913,0.55051,282.9961461
4269.0288,46.028759,0.62659,277.7755906
4269.1812,51.08602142,1.06267,270.9432415
4269.3336,58.02225113,0.9431,264.3098222
4269.486,64.50081635,0.79781,254.4863014
4269.6384,66.86768341,0.74895,250.3135182
4269.7908,66.43229675,0.70344,257.964369
4269.9432,67.33291626,0.70825,271.6097071
4270.0956,69.63770294,0.75499,281.101387
4270.248,73.09786987,0.71783,284.0446194
4270.4004,73.55724335,0.8517,285.9885171
4270.5528,66.99742889,0.8514,284.0955245
4270.7052,57.58319855,0.77203,289.6808475
4270.8576,47.87862015,0.94093,304.2807546
4271.01,40.35152817,0.9205,309.9609408
4271.1624,37.76588821,0.72799,311.9478518
4271.3148,38.8713913,0.68094,296.7399806
4271.4672,43.87659836,0.79011,278.5172078
4271.6196,51.86138153,0.96415,273.4625984
4271.772,58.96118927,0.89577,282.8914042
4271.9244,64.77220154,0.82563,296.1048063
4272.0768,70.37624359,0.67731,298.3265883
4272.2292,72.6781311,0.65917,296.0565627
4272.3816,70.24442291,0.75971,300.9073481
4272.534,69.20729828,0.84274,306.9137036
4272.6864,71.53354645,0.72312,309.4887988
4272.8388,71.76708984,0.7553,306.8137654
4272.9912,70.15479279,0.8359,295.9878609
4273.1436,67.70027924,0.77607,290.5862861
4273.296,62.59994125,0.82646,293.6258093
4273.4484,53.34194946,0.88594,298.347695
4273.6008,41.63639069,0.97788,294.2869704
4273.7532,36.76691055,0.83007,286.9584364
4273.9056,40.12937164,0.74483,280.2283193
4274.058,46.50186157,0.96235,263.3332732
4274.2104,55.93663025,0.93138,247.0314961
4274.3628,63.09323883,0.8465,244.4124016
4274.5152,63.18880844,1.17912,254.5165807
4274.6676,63.55186081,1.06988,272.7812899
4274.82,66.65836334,0.90739,284.4501652
4274.9724,68.67597961,0.86579,283.2212364
4275.1248,72.670578,0.79321,278.3033699
4275.2772,76.09680176,0.74983,266.614631
4275.4296,73.48665619,0.80313,255.2613865
4275.582,69.52062988,0.84591,261.7791995
4275.7344,68.19464111,0.82438,270.730643
4275.8868,67.47796631,0.86787,282.9632014
4276.0392,63.03427887,0.91326,279.8775174
4276.1916,55.95915985,0.84648,269.7136011
4276.344,52.98815918,0.81097,259.2276718
4276.4964,54.16551971,0.74638,247.6873906
4276.6488,55.04972839,0.83149,238.552252
4276.8012,54.36429977,1.16082,240.3600296
4276.9536,53.76696014,1.24249,252.0285433
4277.106,57.42007065,0.94449,265.3297244
4277.2584,63.93595123,0.82034,275.825813
4277.4108,66.86377716,0.92983,283.8642946
4277.5632,67.54654694,0.89162,291.4522689
4277.7156,70.49887085,0.79637,295.5811956
4277.868,75.40823364,0.75688,293.0387811
4278.0204,79.23596954,0.75057,290.3767468
4278.1728,77.98177338,0.88548,295.8917189
4278.3252,76.69834137,0.88415,307.3569554
4278.4776,82.08265686,0.74091,306.7713149
4278.63,86.2674408,0.63628,296.2516305
4278.7824,82.96977234,0.6301,280.229825
4278.9348,73.10095978,0.67603,259.1046545
4279.0872,60.45030975,0.66702,236.6013822
4279.2396,52.19984818,0.77962,228.0725135
4279.392,50.98612976,0.95234,235.5528276
4279.5444,54.43899155,0.97767,255.5918635
4279.6968,58.62799072,1.02979,274.9832677
4279.8492,61.66550064,1.15324,288.8276545
4280.0016,65.85473633,0.83025,294.1709378
4280.154,71.87635803,0.73138,296.1794448
4280.3064,74.91693878,0.72248,297.6663558
4280.4588,74.3660965,0.74216,292.3187095
4280.6112,74.81771851,0.7364,286.5431602
4280.7636,77.73660278,0.6831,285.9059277
4280.916,80.51232147,0.68077,289.9504593
4281.0684,79.4085083,0.70137,299.101378
4281.2208,75.26849365,0.77442,310.5292535
4281.3732,71.2159729,0.74439,313.0933752
4281.5256,67.57920074,0.69149,301.7285423
4281.678,62.9894104,0.71526,277.6277569
4281.8304,57.76594162,0.59281,255.2842404
4281.9828,54.71191025,0.67076,244.7146025
4282.1352,55.483181,0.90116,251.2880022
4282.2876,58.97964096,0.93111,260.3779528
4282.44,62.89604187,1.03937,267.9607337
4282.5924,67.497612,0.86706,277.6188601
4282.7448,72.50598907,0.79762,287.2566913
4282.8972,74.87631989,0.85368,293.0900569
4283.0496,76.03405762,0.80997,287.2134208
4283.202,77.40061188,0.73143,273.9444086
4283.3544,77.41960907,0.67227,274.4052035
4283.5068,75.50701141,0.62015,273.0291995
4283.6592,66.02028656,0.67988,262.9580052
4283.8116,50.83327866,0.78408,253.0741812
4283.964,41.64957047,0.85976,242.631507
4284.1164,41.46966171,0.74811,240.0645153
4284.2688,44.86098099,0.70494,249.9751829
4284.4212,47.91740036,0.81922,260.6595336
4284.5736,52.62311935,0.84455,264.8922413
4284.726,58.94345093,0.97372,269.3399292
4284.8784,65.61776733,0.90856,268.7339239
4285.0308,70.50330353,0.72155,269.9327428
4285.1832,72.07154083,0.76876,280.5218037
4285.3356,73.08614349,0.77848,287.2345198
4285.488,74.43875885,0.80962,281.6751745
4285.6404,76.49667358,0.80118,265.9081588
4285.7928,76.8983078,0.7178,266.6754737
4285.9452,73.22070313,0.70685,280.5486284
4286.0976,68.64893341,0.87407,294.132491
4286.25,66.72033691,0.81274,300.8996063
4286.4024,64.27644348,0.77866,296.0353721
4286.5548,58.09856033,0.75683,287.4424845
4286.7072,54.87306976,0.65581,278.7924593
4286.8596,58.5157814,0.5757,272.9087742
4287.012,61.21245956,0.65602,276.3947035
4287.1644,59.02399063,1.04348,280.9484185
